formula type family aaltaf/finite aaltaf/finite:result black/semidec black/semidec:result black/finite black/finite:result ltl2sat/default ltl2sat/default:result ltlf2asp/default ltlf2asp/default:result
declare-models/IOR5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models IOR5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.381 SAT 1.486 SAT 3.159 SAT 0.527 SAT
declare-models/groupedFollowsbn2.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models groupedFollowsbn2.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 9.176 SAT timeout err 268.338 SAT 8.884 SAT
declare-models/groupedFollowsherbstFig6p30.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models groupedFollowsherbstFig6p30.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl 16.327 SAT 0.331 SAT 0.944 SAT 1.300 SAT 0.414 SAT
declare-models/RIO2.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models RIO2.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.321 SAT 0.725 SAT 2.502 SAT 0.503 SAT
declare-models/groupedFollowsparallel5.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models groupedFollowsparallel5.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl 0.965 SAT 0.058 SAT 0.093 SAT 0.317 SAT 0.143 SAT
declare-models/groupedFollowsherbstFig6p37.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models groupedFollowsherbstFig6p37.xml_Run_1_Alpha_0_Apriori_100-LTL.pltl 23.098 SAT 0.195 SAT 0.917 SAT 1.560 SAT 0.315 SAT
declare-models/ETM_Configuration1.xes.gz_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models ETM_Configuration1.xes.gz_Run_1_Alpha_0_Apriori_100-LTL.pltl 0.012 SAT 0.027 SAT 0.032 SAT 0.160 SAT 0.107 SAT
declare-models/cm2.5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models cm2.5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.311 SAT 1.475 SAT 2.276 SAT 0.474 SAT
declare-models/RIO7.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models RIO7.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.312 SAT 0.793 SAT 2.548 SAT 0.498 SAT
declare-models/sw2.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models sw2.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.367 SAT 0.797 SAT 2.802 SAT 0.499 SAT
declare-models/ETM_Configuration4.xes.gz_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models ETM_Configuration4.xes.gz_Run_1_Alpha_0_Apriori_100-LTL.pltl 0.020 SAT 0.031 SAT 0.036 SAT 0.170 SAT 0.112 SAT
declare-models/OIR5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models OIR5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl 116.491 SAT 0.307 SAT 0.616 SAT 2.740 SAT 0.476 SAT
declare-models/cb10k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models cb10k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl 83.441 SAT 0.339 SAT 0.891 SAT 2.840 SAT 0.501 SAT
declare-models/sw10k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models sw10k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.359 SAT 0.989 SAT 3.120 SAT 0.558 SAT
declare-models/2000-scene2.xes_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models 2000-scene2.xes_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 13.896 SAT 96.618 SAT err(1) err 5.921 SAT
declare-models/OIR7.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models OIR7.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl 168.032 SAT 0.269 SAT 0.500 SAT 2.663 SAT 0.405 SAT
declare-models/pm5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models pm5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl 131.050 SAT 0.335 SAT 1.034 SAT 2.796 SAT 0.472 SAT
declare-models/lp2.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models lp2.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl 62.587 SAT 0.301 SAT 1.253 SAT 2.441 SAT 0.420 SAT
declare-models/cb7.5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models cb7.5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.308 SAT 0.900 SAT 2.483 SAT 0.462 SAT
declare-models/sw5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models sw5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.315 SAT 1.041 SAT 2.921 SAT 0.485 SAT
declare-models/sw7.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models sw7.5k.MXML_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.327 SAT 0.754 SAT 2.621 SAT 0.495 SAT
declare-models/review_example_large.xes_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models review_example_large.xes_Run_1_Alpha_0_Apriori_100-LTL.pltl 0.328 SAT 0.075 SAT 0.123 SAT 0.894 SAT 0.193 SAT
declare-models/lp5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models lp5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl 74.739 SAT 0.356 SAT 0.916 SAT 2.884 SAT 0.477 SAT
declare-models/pl5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models pl5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl 151.163 SAT 0.388 SAT 1.249 SAT 2.897 SAT 0.516 SAT
declare-models/IRO2.5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl declare-models IRO2.5k.mxml_Run_1_Alpha_0_Apriori_100-LTL.pltl memout err 0.324 SAT 1.561 SAT 2.648 SAT 0.502 SAT
