formula type family aaltaf/finite aaltaf/finite:result black/semidec black/semidec:result black/finite black/finite:result ltl2sat/default ltl2sat/default:result ltlf2asp/default ltlf2asp/default:result
declare-patterns/ChainPrecedence/N160.pltl declare-patterns ChainPrecedence 0.013 SAT 0.020 SAT 0.020 SAT 0.085 SAT 0.087 SAT
declare-patterns/ChainPrecedence/N330.pltl declare-patterns ChainPrecedence 0.037 SAT 0.021 SAT 0.020 SAT 0.085 SAT 0.091 SAT
declare-patterns/ChainPrecedence/N370.pltl declare-patterns ChainPrecedence 0.045 SAT 0.021 SAT 0.020 SAT 0.085 SAT 0.092 SAT
declare-patterns/ChainPrecedence/N830.pltl declare-patterns ChainPrecedence 0.201 SAT 0.022 SAT 0.023 SAT 0.103 SAT 0.106 SAT
declare-patterns/ChainPrecedence/N870.pltl declare-patterns ChainPrecedence 0.217 SAT 0.022 SAT 0.022 SAT 0.106 SAT 0.108 SAT
declare-patterns/ChainPrecedence/N60.pltl declare-patterns ChainPrecedence 0.006 SAT 0.020 SAT 0.020 SAT 0.078 SAT 0.084 SAT
declare-patterns/ChainPrecedence/N210.pltl declare-patterns ChainPrecedence 0.018 SAT 0.020 SAT 0.019 SAT 0.081 SAT 0.088 SAT
declare-patterns/ChainPrecedence/N600.pltl declare-patterns ChainPrecedence 0.108 SAT 0.020 SAT 0.021 SAT 0.091 SAT 0.100 SAT
declare-patterns/ChainPrecedence/N710.pltl declare-patterns ChainPrecedence 0.149 SAT 0.021 SAT 0.021 SAT 0.092 SAT 0.103 SAT
declare-patterns/ChainPrecedence/N300.pltl declare-patterns ChainPrecedence 0.032 SAT 0.020 SAT 0.020 SAT 0.080 SAT 0.091 SAT
declare-patterns/ChainPrecedence/N400.pltl declare-patterns ChainPrecedence 0.052 SAT 0.021 SAT 0.020 SAT 0.082 SAT 0.093 SAT
declare-patterns/ChainPrecedence/N910.pltl declare-patterns ChainPrecedence 0.233 SAT 0.022 SAT 0.022 SAT 0.104 SAT 0.110 SAT
declare-patterns/ChainPrecedence/N660.pltl declare-patterns ChainPrecedence 0.129 SAT 0.021 SAT 0.021 SAT 0.092 SAT 0.102 SAT
declare-patterns/ChainPrecedence/N570.pltl declare-patterns ChainPrecedence 0.100 SAT 0.020 SAT 0.021 SAT 0.092 SAT 0.099 SAT
declare-patterns/ChainPrecedence/N440.pltl declare-patterns ChainPrecedence 0.061 SAT 0.021 SAT 0.021 SAT 0.083 SAT 0.095 SAT
declare-patterns/ChainPrecedence/N220.pltl declare-patterns ChainPrecedence 0.020 SAT 0.020 SAT 0.020 SAT 0.078 SAT 0.089 SAT
declare-patterns/ChainPrecedence/N430.pltl declare-patterns ChainPrecedence 0.058 SAT 0.020 SAT 0.020 SAT 0.087 SAT 0.096 SAT
declare-patterns/ChainPrecedence/N800.pltl declare-patterns ChainPrecedence 0.190 SAT 0.022 SAT 0.021 SAT 0.096 SAT 0.105 SAT
declare-patterns/ChainPrecedence/N360.pltl declare-patterns ChainPrecedence 0.043 SAT 0.020 SAT 0.020 SAT 0.082 SAT 0.093 SAT
declare-patterns/ChainPrecedence/N640.pltl declare-patterns ChainPrecedence 0.121 SAT 0.021 SAT 0.021 SAT 0.094 SAT 0.101 SAT
declare-patterns/ChainPrecedence/N20.pltl declare-patterns ChainPrecedence 0.005 SAT 0.020 SAT 0.020 SAT 0.075 SAT 0.084 SAT
declare-patterns/ChainPrecedence/N740.pltl declare-patterns ChainPrecedence 0.161 SAT 0.021 SAT 0.021 SAT 0.093 SAT 0.105 SAT
declare-patterns/ChainPrecedence/N310.pltl declare-patterns ChainPrecedence 0.034 SAT 0.020 SAT 0.020 SAT 0.082 SAT 0.092 SAT
declare-patterns/ChainPrecedence/N610.pltl declare-patterns ChainPrecedence 0.111 SAT 0.021 SAT 0.020 SAT 0.089 SAT 0.101 SAT
declare-patterns/ChainPrecedence/N240.pltl declare-patterns ChainPrecedence 0.022 SAT 0.020 SAT 0.020 SAT 0.080 SAT 0.090 SAT
declare-patterns/ChainPrecedence/N230.pltl declare-patterns ChainPrecedence 0.021 SAT 0.020 SAT 0.020 SAT 0.080 SAT 0.090 SAT
declare-patterns/ChainPrecedence/N770.pltl declare-patterns ChainPrecedence 0.171 SAT 0.022 SAT 0.021 SAT 0.094 SAT 0.106 SAT
declare-patterns/ChainPrecedence/N410.pltl declare-patterns ChainPrecedence 0.054 SAT 0.020 SAT 0.021 SAT 0.082 SAT 0.095 SAT
declare-patterns/ChainPrecedence/N650.pltl declare-patterns ChainPrecedence 0.125 SAT 0.020 SAT 0.021 SAT 0.091 SAT 0.101 SAT
declare-patterns/ChainPrecedence/N630.pltl declare-patterns ChainPrecedence 0.117 SAT 0.020 SAT 0.021 SAT 0.095 SAT 0.102 SAT
declare-patterns/ChainPrecedence/N540.pltl declare-patterns ChainPrecedence 0.089 SAT 0.021 SAT 0.021 SAT 0.090 SAT 0.098 SAT
