formula type family aaltaf/finite aaltaf/finite:result black/semidec black/semidec:result black/finite black/finite:result ltl2sat/default ltl2sat/default:result ltlf2asp/default ltlf2asp/default:result
ours/edited_hh102_weekends_74_512_4.ltlf ours edited_hh102_weekends_74_512_4.ltlf timeout err timeout err 146.882 err 84.717 SAT 58.657 SAT
ours/nasa_cev_complete_splitted_32_512_1.ltlf ours nasa_cev_complete_splitted_32_512_1.ltlf memout err timeout err 109.930 err err(1) err 79.896 SAT
ours/international_declarations_197_128_2.ltlf ours international_declarations_197_128_2.ltlf timeout err 165.593 SAT 118.005 err 81.982 SAT 13.789 SAT
ours/edited_hh102_labour_97_64_0.ltlf ours edited_hh102_labour_97_64_0.ltlf timeout err 4.368 SAT 20.310 SAT 21.263 SAT 2.198 SAT
ours/bpi_challenge_2013_incidents_11_512_1.ltlf ours bpi_challenge_2013_incidents_11_512_1.ltlf timeout err timeout err 159.157 err 44.247 SAT 7.906 SAT
ours/hospital_log_406_64_2.ltlf ours hospital_log_406_64_2.ltlf err(1) err 4.657 err 5.962 err err(1) err timeout err
ours/activitylog_uci_detailed_labour_95_128_4.ltlf ours activitylog_uci_detailed_labour_95_128_4.ltlf timeout err 19.544 SAT 125.616 SAT 35.109 SAT 5.731 SAT
ours/domestic_declarations_46_64_1.ltlf ours domestic_declarations_46_64_1.ltlf 1.023 SAT 3.763 SAT 22.077 SAT 17.664 SAT 3.597 SAT
ours/activitylog_uci_detailed_weekends_156_512_2.ltlf ours activitylog_uci_detailed_weekends_156_512_2.ltlf timeout err timeout err 140.146 err 79.520 SAT 54.033 SAT
ours/road_traffic_fine_management_14_16_0.ltlf ours road_traffic_fine_management_14_16_0.ltlf 0.033 SAT 0.129 SAT 0.254 SAT 2.218 SAT 0.597 SAT
ours/edited_hh110_labour_142_128_1.ltlf ours edited_hh110_labour_142_128_1.ltlf timeout err 23.690 SAT 146.531 SAT 50.593 SAT 7.246 SAT
ours/sepsis_172_32_1.ltlf ours sepsis_172_32_1.ltlf 2.244 SAT 0.981 SAT 6.440 SAT 14.531 SAT 2.096 SAT
ours/bpi_challenge_2012_12_16_4.ltlf ours bpi_challenge_2012_12_16_4.ltlf 0.147 SAT 0.429 SAT 1.196 SAT 7.738 SAT 1.159 SAT
ours/edited_hh102_weekends_147_16_2.ltlf ours edited_hh102_weekends_147_16_2.ltlf 3.410 SAT 0.494 SAT 1.906 SAT 7.446 SAT 1.179 SAT
ours/nasa_cev_complete_splitted_11_32_1.ltlf ours nasa_cev_complete_splitted_11_32_1.ltlf 1.098 SAT 11.153 SAT 33.952 SAT 88.868 SAT 8.761 SAT
ours/international_declarations_66_64_1.ltlf ours international_declarations_66_64_1.ltlf 68.581 SAT 25.312 SAT 76.836 SAT 71.905 SAT 13.448 SAT
ours/edited_hh104_labour_324_512_0.ltlf ours edited_hh104_labour_324_512_0.ltlf timeout err timeout err 182.144 err err(1) err 88.706 SAT
ours/prepaid_travel_costs_41_16_3.ltlf ours prepaid_travel_costs_41_16_3.ltlf 1.267 SAT 0.756 SAT 2.285 SAT 11.364 SAT 1.848 SAT
ours/domestic_declarations_46_256_4.ltlf ours domestic_declarations_46_256_4.ltlf 188.320 SAT 242.823 SAT 156.060 err 58.178 SAT 7.985 SAT
ours/bpi_challenge_2013_closed_problems_7_512_4.ltlf ours bpi_challenge_2013_closed_problems_7_512_4.ltlf timeout err timeout err 175.221 err 42.263 SAT 8.207 SAT
ours/domestic_declarations_31_512_3.ltlf ours domestic_declarations_31_512_3.ltlf timeout err timeout err 204.953 err 67.397 SAT 79.073 SAT
ours/nasa_cev_complete_splitted_32_32_3.ltlf ours nasa_cev_complete_splitted_32_32_3.ltlf 1.333 SAT 11.534 SAT 33.409 SAT 100.774 SAT 9.762 SAT
ours/domestic_declarations_16_32_2.ltlf ours domestic_declarations_16_32_2.ltlf 0.253 SAT 0.720 SAT 2.839 SAT 7.223 SAT 1.350 SAT
ours/sepsis_229_128_1.ltlf ours sepsis_229_128_1.ltlf 214.495 SAT 30.162 SAT 190.210 SAT 61.383 SAT 6.782 SAT
ours/edited_hh102_labour_290_256_0.ltlf ours edited_hh102_labour_290_256_0.ltlf timeout err 268.645 SAT 171.007 err 61.219 SAT 36.331 SAT
ours/hsopital_billing_31_32_2.ltlf ours hsopital_billing_31_32_2.ltlf 0.638 SAT 1.256 SAT 3.473 SAT 10.194 SAT 1.747 SAT
ours/edited_hh110_labour_565_128_0.ltlf ours edited_hh110_labour_565_128_0.ltlf timeout err 34.317 SAT 142.386 err 172.676 SAT 10.442 SAT
